g-spine,g-img,g-title,g-director,g-country,g-year,link
652,,Monsieur Verdoux,Charles Chaplin,"United States,",1947,https://www.criterion.com/films/27574-monsieur-verdoux
93,,Black Narcissus,Michael Powell and Emeric Pressburger,"United Kingdom,",1947,https://www.criterion.com/films/632-black-narcissus
193,,Quai des Orfèvres,Henri-Georges Clouzot,"France,",1947,https://www.criterion.com/films/738-quai-des-orfevres
754,,Odd Man Out,Carol Reed,"United Kingdom,",1947,https://www.criterion.com/films/28173-odd-man-out
1078,,Nightmare Alley,Edmund Goulding,"United States,",1947,https://www.criterion.com/films/28571-nightmare-alley
,,A Ship to India,Ingmar Bergman,"Sweden,",1947,https://www.criterion.com/films/29512-a-ship-to-india
921,,Moonrise,Frank Borzage,"United States,",1948,https://www.criterion.com/films/28550-moonrise
44,,The Red Shoes,Michael Powell and Emeric Pressburger,"United Kingdom,",1948,https://www.criterion.com/films/233-the-red-shoes
357,,The Fallen Idol,Carol Reed,"United Kingdom,",1948,https://www.criterion.com/films/346-the-fallen-idol
374,,Bicycle Thieves,Vittorio De Sica,"Italy,",1948,https://www.criterion.com/films/210-bicycle-thieves
32,,Oliver Twist,David Lean,"United Kingdom,",1948,https://www.criterion.com/films/567-oliver-twist
1148,,Kalpana,Uday Shankar,"India,",1948,https://www.criterion.com/films/33102-kalpana
,,Women of the Night,Kenji Mizoguchi,"Japan,",1948,https://www.criterion.com/films/969-women-of-the-night
413,,Drunken Angel,Akira Kurosawa,"Japan,",1948,https://www.criterion.com/films/845-drunken-angel
82,,Hamlet,Laurence Olivier,"United Kingdom,",1948,https://www.criterion.com/films/621-hamlet
292,,Unfaithfully Yours,Preston Sturges,"United States,",1948,https://www.criterion.com/films/876-unfaithfully-yours
709,,Red River,Howard Hawks,"United States,",1948,https://www.criterion.com/films/28046-red-river
,,Port of Call,Ingmar Bergman,"Sweden,",1948,https://www.criterion.com/films/643-port-of-call
380,,The Naked City,Jules Dassin,"United States,",1948,https://www.criterion.com/films/818-the-naked-city
499,,Germany Year Zero,Roberto Rossellini,"Germany,",1948,https://www.criterion.com/films/297-germany-year-zero
880,,They Live by Night,Nicholas Ray,"United States,",1948,https://www.criterion.com/films/28717-they-live-by-night
