title,link,tags,year,clean_title,file,short_url,clean_short_url
Bluejay,/Bluejay-Sara-Lindsey/dp/B0B8TY4R7D/ref=sr_1_1490?qid=1691311495&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1490,2016|TV-MA|CC,2016.0,Bluejay,4094_Bluejay,/Bluejay-Sara-Lindsey/,/Bluejay-Sara-Lindsey/
How China Got Rich,/How-China-Rich-Michael-Wood/dp/B085K8972Q/ref=sr_1_1491?qid=1691311495&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1491,2019|CC,2019.0,How_China_Got_Rich,4095_How_China_Got_Rich,/How-China-Rich-Michael-Wood/,/How-China-Rich-Michael-Wood/
Lynyrd Skynyrd - I'll Never Forget You,/Lynyrd-Skynyrd-Never-Forget-Hours/dp/B07Z5HMHYT/ref=sr_1_1492?qid=1691311495&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1492,2019|PG-13|CC,2019.0,Lynyrd_Skynyrd__Ill_Never_Forget_You,4096_Lynyrd_Skynyrd__Ill_Never_Forget_You,/Lynyrd-Skynyrd-Never-Forget-Hours/,/Lynyrd-Skynyrd-Never-Forget-Hours/
Being Taken,/Being-Taken-Stanton-Friedman/dp/B098DVFG6T/ref=sr_1_1493?qid=1691311495&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1493,2018|CC,2018.0,Being_Taken,4097_Being_Taken,/Being-Taken-Stanton-Friedman/,/Being-Taken-Stanton-Friedman/
Majili,/Majili-Naga-Chaitanya/dp/B08KWPFJQ1/ref=sr_1_1494?qid=1691311495&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1494,2019|CC,2019.0,Majili,4098_Majili,/Majili-Naga-Chaitanya/,/Majili-Naga-Chaitanya/
730,/730-Jamal-Woolard/dp/B07CN8GB7L/ref=sr_1_1495?qid=1691311495&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1495,2015|CC,2015.0,730,4099_730,/730-Jamal-Woolard/,/730-Jamal-Woolard/
Pataakha,/Pataakha-Sanya-Malhotra/dp/B08KWQWB4V/ref=sr_1_1496?qid=1691311495&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1496,2018|CC,2018.0,Pataakha,4100_Pataakha,/Pataakha-Sanya-Malhotra/,/Pataakha-Sanya-Malhotra/
Mitron,/Mitron-Jackky-Bhagnani/dp/B08KWPHXMC/ref=sr_1_1497?qid=1691311495&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1497,2018|CC,2018.0,Mitron,4101_Mitron,/Mitron-Jackky-Bhagnani/,/Mitron-Jackky-Bhagnani/
Mr Dynamite: The Rise Of James Brown,/James-Brown-Mr-Dynamite-Rise/dp/B07ZG5Q5QL/ref=sr_1_1498?qid=1691311495&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1498,2014|CC,2014.0,Mr_Dynamite_The_Rise_Of_James_Brown,4102_Mr_Dynamite_The_Rise_Of_James_Brown,/James-Brown-Mr-Dynamite-Rise/,/James-Brown-Mr-Dynamite-Rise/
Life After Life,/Life-After-Tamara-Perkins/dp/B07QF1LQ6R/ref=sr_1_1499?qid=1691311495&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1499,2018|CC,2018.0,Life_After_Life,4103_Life_After_Life,/Life-After-Tamara-Perkins/,/Life-After-Tamara-Perkins/
