title,link,tags,year,clean_title,fname,short_url,clean_short_url
Legend of the Naga Pearls,/Legend-Naga-Pearls-Darren-Wang/dp/B079GGKTV2/ref=sr_1_1923?qid=1691311577&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1923,2017|CC,2017.0,Legend_of_the_Naga_Pearls,402_Legend_of_the_Naga_Pearls,/Legend-Naga-Pearls-Darren-Wang/,/Legend-Naga-Pearls-Darren-Wang/
Please Be Offended,/Jim-Norton-Please-Be-Offended/dp/B07L6Q1741/ref=sr_1_1933?qid=1691311577&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1933,2012|TV-MA|CC,2012.0,Please_Be_Offended,412_Please_Be_Offended,/Jim-Norton-Please-Be-Offended/,/Jim-Norton-Please-Be-Offended/
Zero to Sixty,/Bob-Saget-Zero-Sixty/dp/B07LC42KCF/ref=sr_1_1938?qid=1691311580&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1938,2017|CC,2017.0,Zero_to_Sixty,417_Zero_to_Sixty,/Bob-Saget-Zero-Sixty/,/Bob-Saget-Zero-Sixty/
Going Downhill,/Neville-Shah-Going-Downhill/dp/B07W6K6KHZ/ref=sr_1_1952?qid=1691311580&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1952,2019|R|CC,2019.0,Going_Downhill,431_Going_Downhill,/Neville-Shah-Going-Downhill/,/Neville-Shah-Going-Downhill/
Resurfacing,/Andy-Murray-Resurfacing/dp/B081TKTKJR/ref=sr_1_1956?qid=1691311582&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1956,2019|CC,2019.0,Resurfacing,435_Resurfacing,/Andy-Murray-Resurfacing/,/Andy-Murray-Resurfacing/
Guilty As Charged,/Steve-Guilty-As-Charged/dp/B07L6NMDMN/ref=sr_1_1962?qid=1691311582&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1962,2016|TV-MA|CC,2016.0,Guilty_As_Charged,441_Guilty_As_Charged,/Steve-Guilty-As-Charged/,/Steve-Guilty-As-Charged/
99 Homes,/99-Homes-Andrew-Garfield/dp/B01BHI4FPO/ref=sr_1_1963?qid=1691311582&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1963,2015|CC,2015.0,99_Homes,442_99_Homes,/99-Homes-Andrew-Garfield/,/99-Homes-Andrew-Garfield/
Regular Black,/Godfrey-Regular-Black/dp/B0B8TMCD1B/ref=sr_1_1989?qid=1691311587&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1989,2016|CC,2016.0,Regular_Black,468_Regular_Black,/Godfrey-Regular-Black/,/Godfrey-Regular-Black/
Chanakya,/Gopichand-Chanakya/dp/B07ZPMPP4Z/ref=sr_1_2000?qid=1691311587&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-2000,2019|CC,2019.0,Chanakya,479_Chanakya,/Gopichand-Chanakya/,/Gopichand-Chanakya/
Dear White People,/White-People-Tyler-James-Williams/dp/B08J9DQTRS/ref=sr_1_2010?qid=1691311590&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-2010,2014|R|CC,2014.0,Dear_White_People,489_Dear_White_People,/White-People-Tyler-James-Williams/,/White-People-Tyler-James-Williams/
"Fake News, Real Jokes",/Dennis-Miller-Fake-News-Jokes/dp/B07MVQL96Y/ref=sr_1_2012?qid=1691311590&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-2012,2018|CC,2018.0,Fake_News_Real_Jokes,491_Fake_News_Real_Jokes,/Dennis-Miller-Fake-News-Jokes/,/Dennis-Miller-Fake-News-Jokes/
Cosmopolis,/Cosmopolis-Robert-Pattinson/dp/B09NLPHR3B/ref=sr_1_2014?qid=1691311590&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-2014,2012|R|CC,2012.0,Cosmopolis,493_Cosmopolis,/Cosmopolis-Robert-Pattinson/,/Cosmopolis-Robert-Pattinson/
Get To Know Me,/Preacher-Lawson-Get-Know-Me/dp/B0B647L1SN/ref=sr_1_2028?qid=1691311592&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-2028,2019|TV-14|CC,2019.0,Get_To_Know_Me,507_Get_To_Know_Me,/Preacher-Lawson-Get-Know-Me/,/Preacher-Lawson-Get-Know-Me/
Better Days,/Better-Days-Dongyu-Zhou/dp/B087YTGY2Y/ref=sr_1_2048?qid=1691311595&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-2048,2019|TV-14|CC,2019.0,Better_Days,527_Better_Days,/Better-Days-Dongyu-Zhou/,/Better-Days-Dongyu-Zhou/
I'm Here To Help,/Craig-Ferguson-Im-Here-Help/dp/B07N8JNNS6/ref=sr_1_2049?qid=1691311597&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-2049,2013|CC,2013.0,Im_Here_To_Help,528_Im_Here_To_Help,/Craig-Ferguson-Im-Here-Help/,/Craig-Ferguson-Im-Here-Help/
