imdb_id,title,match,alt_id,script_url,notes,filename,id_merged,char_fname
0090756,Blue Velvet,1,,https://www.dailyscript.com/scripts/Blue%2BVelvet.txt,,Blue-Velvet,0090756,Blue-Velvet_charinfo.txt
0082089,Body Heat,1,,https://www.dailyscript.com/scripts/BodyHeat.pdf,,Body-Heat,0082089,Body-Heat_charinfo.txt
0106453,Body of Evidence,1,,https://imsdb.com/scripts/Body-of-Evidence.html,,Body-of-Evidence,0106453,Body-of-Evidence_charinfo.txt
7493974,Bodyguard,0,0103855,https://www.dailyscript.com/scripts/The_Body_Guard.pdf,Newer tv show preferred,The-Bodyguard,0103855,The-Bodyguard_charinfo.txt
0099165,The Bonfire of the Vanities,1,,https://imsdb.com/scripts/Bonfire-of-the-Vanities.html,,Bonfire-of-the-Vanities,0099165,Bonfire-of-the-Vanities_charinfo.txt
0061418,Bonnie and Clyde,1,,https://imsdb.com/scripts/Bonnie-and-Clyde.html,,Bonnie-and-Clyde,0061418,Bonnie-and-Clyde_charinfo.txt
0118749,Boogie Nights,1,,https://imsdb.com/scripts/Boogie-Nights.html,,Boogie-Nights,0118749,Boogie-Nights_charinfo.txt
1037705,The Book of Eli,1,,https://imsdb.com/scripts/Book-of-Eli%2C-The.html,,Book-of-Eli-The,1037705,Book-of-Eli-The_charinfo.txt
1300851,The Boondock Saints II: All Saints Day,1,,https://imsdb.com/scripts/Boondock-Saints-2-All-Saints-Day.html,,Boondock-Saints-2-All-Saints-Day,1300851,Boondock-Saints-2-All-Saints-Day_charinfo.txt
0144117,The Boondock Saints,1,,https://www.dailyscript.com/scripts/boondock-saints-script.html,,The-Boondock-Saints,0144117,The-Boondock-Saints_charinfo.txt
1038919,The Bounty Hunter,1,,https://imsdb.com/scripts/Bounty-Hunter%2C-The.html,,Bounty-Hunter-The,1038919,Bounty-Hunter-The_charinfo.txt
0258463,The Bourne Identity,1,,https://imsdb.com/scripts/Bourne-Identity%2C-The.html,,Bourne-Identity-The,0258463,Bourne-Identity-The_charinfo.txt
0440963,The Bourne Ultimatum,1,,https://imsdb.com/scripts/Bourne-Ultimatum%2C-The.html,,Bourne-Ultimatum-The,0440963,Bourne-Ultimatum-The_charinfo.txt
0362478,The Box,1,,https://imsdb.com/scripts/Box%2C-The.html,,Box-The,0362478,Box-The_charinfo.txt
0787474,The Boxtrolls,1,,https://imsdb.com/scripts/Boxtrolls%2C-The.html,,Boxtrolls-The,0787474,Boxtrolls-The_charinfo.txt
1065073,Boyhood,1,,https://imsdb.com/scripts/Boyhood.html,,Boyhood,1065073,Boyhood_charinfo.txt
0118771,Breakdown,1,,https://imsdb.com/scripts/Breakdown.html,,Breakdown,0118771,Breakdown_charinfo.txt
0078902,Breaking Away,1,,https://imsdb.com/scripts/Breaking-Away.html,,Breaking-Away,0078902,Breaking-Away_charinfo.txt
0393109,Brick,1,,https://imsdb.com/scripts/Brick.html,,Brick,0393109,Brick_charinfo.txt
1478338,Bridesmaids,1,,https://imsdb.com/scripts/Bridesmaids.html,,Bridesmaids,1478338,Bridesmaids_charinfo.txt
0163988,Bringing Out the Dead,1,,https://imsdb.com/scripts/Bringing-Out-the-Dead.html,,Bringing-Out-the-Dead,0163988,Bringing-Out-the-Dead_charinfo.txt
0042286,Broken Arrow,0,0115759,https://imsdb.com/scripts/Broken-Arrow.html,Older popular movie preferred,Broken-Arrow,0115759,Broken-Arrow_charinfo.txt
0913425,Broken Embraces,1,,https://imsdb.com/scripts/Broken-Embraces.html,,Broken-Embraces,0913425,Broken-Embraces_charinfo.txt
0844286,The Brothers Bloom,1,,https://imsdb.com/scripts/Brothers-Bloom%2C-The.html,,Brothers-Bloom-The,0844286,Brothers-Bloom-The_charinfo.txt
0094812,Bull Durham,1,,https://imsdb.com/scripts/Bull-Durham.html,,Bull-Durham,0094812,Bull-Durham_charinfo.txt
1462758,Buried,1,,https://imsdb.com/scripts/Buried.html,,Buried,1462758,Buried_charinfo.txt
1126591,Burlesque,1,,https://imsdb.com/scripts/Burlesque.html,,Burlesque,1126591,Burlesque_charinfo.txt
0887883,Burn After Reading,1,,https://imsdb.com/scripts/Burn-After-Reading.html,,Burn-After-Reading,0887883,Burn-After-Reading_charinfo.txt
0307879,Burning Annie,1,,https://imsdb.com/scripts/Burning-Annie.html,,Burning-Annie,0307879,Burning-Annie_charinfo.txt
0289879,The Butterfly Effect,1,,https://imsdb.com/scripts/Butterfly-Effect%2C-The.html,,Butterfly-Effect-The,0289879,Butterfly-Effect-The_charinfo.txt
0115798,The Cable Guy,1,,https://www.dailyscript.com/scripts/The-Cable-Guy.txt,,The-Cable-Guy,0115798,The-Cable-Guy_charinfo.txt
2387411,Candle to Water,1,,https://imsdb.com/scripts/Candle-to-Water.html,,Candle-to-Water,2387411,Candle-to-Water_charinfo.txt
0379725,Capote,1,,https://www.dailyscript.com/scripts/Capote.pdf,,Capote,0379725,Capote_charinfo.txt
0074285,Carrie,1,,https://imsdb.com/scripts/Carrie.html,,Carrie,0074285,Carrie_charinfo.txt
1216475,Cars 2,1,,https://imsdb.com/scripts/Cars-2.html,,Cars-2,1216475,Cars-2_charinfo.txt
0795351,Case 39,1,,https://imsdb.com/scripts/Case-39.html,,Case-39,0795351,Case-39_charinfo.txt
0112641,Casino,1,,https://www.dailyscript.com/scripts/Casino.txt,,Casino,0112641,Casino_charinfo.txt
0162222,Cast Away,1,,https://imsdb.com/scripts/Cast-Away.html,,Cast-Away,0162222,Cast-Away_charinfo.txt
0264464,Catch Me If You Can,1,,https://imsdb.com/scripts/Catch-Me-If-You-Can.html,,Catch-Me-If-You-Can,0264464,Catch-Me-If-You-Can_charinfo.txt
0173716,Cecil B. Demented,1,,https://imsdb.com/scripts/Cecil-B.-Demented.html,,Cecil-B-Demented,0173716,Cecil-B-Demented_charinfo.txt
1477837,Cedar Rapids,1,,https://imsdb.com/scripts/Cedar-Rapids.html,,Cedar-Rapids,1477837,Cedar-Rapids_charinfo.txt
0209958,The Cell,1,,https://imsdb.com/scripts/Cell%2C-The.html,,Cell-The,0209958,Cell-The_charinfo.txt
0337921,Cellular,1,,https://imsdb.com/scripts/Cellular.html,,Cellular,0337921,Cellular_charinfo.txt
1488555,The Change-Up,1,,https://imsdb.com/scripts/Change-Up%2C-The.html,,Change-Up-The,1488555,Change-Up-The_charinfo.txt
0824747,Changeling,1,,https://imsdb.com/scripts/Changeling.html,,Changeling,0824747,Changeling_charinfo.txt
2076822,Chaos Walking,0,0402910,https://imsdb.com/scripts/Chaos.html,Newer movie preferred,Chaos,0402910,Chaos_charinfo.txt
0056923,Charade,1,,https://imsdb.com/scripts/Charade.html,,Charade,0056923,Charade_charinfo.txt
0160127,Charlie's Angels,1,,https://www.dailyscript.com/scripts/Charlies_Angels.pdf,,Charlies-Angels,0160127,Charlies-Angels_charinfo.txt
0221069,Chasing Sleep,1,,https://imsdb.com/scripts/Chasing-Sleep.html,,Chasing-Sleep,0221069,Chasing-Sleep_charinfo.txt
0175526,Cherry Falls,1,,https://imsdb.com/scripts/Cherry-Falls.html,,Cherry-Falls,0175526,Cherry-Falls_charinfo.txt
0071315,Chinatown,1,,https://imsdb.com/scripts/Chinatown.html,,Chinatown,0071315,Chinatown_charinfo.txt
2416048,Christ Complex,1,,https://imsdb.com/scripts/Christ-Complex.html,,Christ-Complex,2416048,Christ-Complex_charinfo.txt
1706593,Chronicle,1,,https://imsdb.com/scripts/Chronicle.html,,Chronicle,1706593,Chronicle_charinfo.txt
0124315,The Cider House Rules,1,,https://www.dailyscript.com/scripts/cider_house_rules.html,,The-Cider-House-Rules,0124315,The-Cider-House-Rules_charinfo.txt
0450405,Cirque du Freak: The Vampire's Assistant,1,,https://imsdb.com/scripts/Cirque-du-Freak-The-Vampire%27s-Assistant.html,,Cirque-du-Freak-The-Vampires-Assistant,0450405,Cirque-du-Freak-The-Vampires-Assistant_charinfo.txt
0033467,Citizen Kane,1,,https://imsdb.com/scripts/Citizen-Kane.html,,Citizen-Kane,0033467,Citizen-Kane_charinfo.txt
0103976,City of Joy,1,,https://www.dailyscript.com/scripts/city_of_joy.pdf,Some characters missing,City-of-Joy,0103976,City-of-Joy_charinfo.txt
0800320,Clash of the Titans,1,,https://imsdb.com/scripts/Clash-of-the-Titans.html,Some characters missing,Clash-of-the-Titans,0800320,Clash-of-the-Titans_charinfo.txt
0106582,Cliffhanger,1,,https://imsdb.com/scripts/Cliffhanger.html,,Cliffhanger,0106582,Cliffhanger_charinfo.txt
0109450,Cobb,1,,https://www.dailyscript.com/scripts/cobb.pdf,,Cobb,0109450,Cobb_charinfo.txt
2380307,Coco,1,,https://imsdb.com/scripts/Coco.html,,Coco,2380307,Coco_charinfo.txt
0233469,Collateral Damage,1,,https://www.dailyscript.com/scripts/Collateral_Damage.pdf,,Collateral-Damage,0233469,Collateral-Damage_charinfo.txt
1657507,Colombiana,1,,https://imsdb.com/scripts/Colombiana.html,,Colombiana,1657507,Colombiana_charinfo.txt
0109456,Color of Night,1,,https://imsdb.com/scripts/Color-of-Night.html,,Color-of-Night,0109456,Color-of-Night_charinfo.txt
0270288,Confessions of a Dangerous Mind,1,,https://imsdb.com/scripts/Confessions-of-a-Dangerous-Mind.html,,Confessions-of-a-Dangerous-Mind,0270288,Confessions-of-a-Dangerous-Mind_charinfo.txt
0310910,Confidence,1,,https://www.dailyscript.com/scripts/Confidence.txt,,Confidence,0310910,Confidence_charinfo.txt
0360486,Constantine,1,,https://imsdb.com/scripts/Constantine.html,,Constantine,0360486,Constantine_charinfo.txt
0327597,Coraline,1,,https://imsdb.com/scripts/Coraline.html,,Coraline,0327597,Coraline_charinfo.txt
1372686,Coriolanus,1,,https://imsdb.com/scripts/Coriolanus.html,,Coriolanus,1372686,Coriolanus_charinfo.txt
